"","Title","Number","Abbreviation","AvgWorkloadRating","AvgDifficultyRating","AvgUtilityRating"
"1","Introductory Sociology",10000,"SOC",0,0,0
"2","Intro Anthropology-Honors",10000,"ANTH",0,0,0
"3","American Language And Culture For International Students I",10000,"GS",0,0,0
"4","Planet Earth",10000,"EAS",0,0,0
"5","Pharmaceutical Sciences Orientation",10000,"IPPH",0,0,0
"6","Introduction To CSR",10000,"CSR",0,0,0
"7","Technology Freshman Seminar",10000,"TECH",0,0,0
"8","Introduction To The Science And Fields Of Psychology",10000,"PSY",0,0,0
"9","Introduction To Communication Studies",10000,"COM",0,0,0
"11","Orientation To Current Issues In Human Development And Family Studies",10000,"HDFS",0,0,0
"12","Planet Earth",10000,"EAPS",0,0,0
"13","Management Lectures I",10000,"MGMT",0,0,0
"14","Pharmacy Orientation I",10000,"PHRM",0,0,0
"15","Global Design Team I",10000,"GEP",0,0,0
"16","Introduction To Aviation Technology",10000,"AT",0,0,0
"19","Multicultural Leadership Seminar",10000,"SCI",0,0,0
"20","Introduction To Biochemistry",10000,"BCHM",0,0,0
"21","Introduction To Construction",10001,"BCM",0,0,0
"22","Introduction To The Hospitality And Tourism Industry",10010,"HTM",0,0,0
"23","Modern Hebrew Level I",10100,"HEBR",0,0,0
"24","Hospitality And Tourism Student Seminar",10100,"HTM",0,0,0
"25","Fundamentals Of Horticulture",10100,"HORT",0,0,0
"26","Survey Of Landscape Architecture",10100,"LA",0,0,0
"27","Latin Level I",10100,"LATN",0,0,0
"28","Gateway To Aviation Technology",10100,"AT",0,0,0
"29","Ancient Greek Level I",10100,"GREK",0,0,0
"30","Women In Technology: Exploring The Possibilities",10100,"TECH",0,0,0
"31","Introduction To The College Of Agriculture And Purdue University",10100,"AGR",0,0,0
"32","American Government And Politics",10100,"POL",0,0,0
"33","Foundations of Officership",10100,"MSL",0,0,0
"35","Introduction to Computer Graphics Technology",10100,"CGT",0,0,0
"36"," First Yr Part In EPICS",10100,"EPCS",0,0,0
"37","American Sign Language I",10100,"ASL",0,0,0
"38","Animal Agriculture",10100,"ANSC",0,0,0
"39","America And The World",10100,"AMST",0,0,0
"41","French Level I",10100,"FR",0,0,0
"42","Portuguese Level I",10100,"PTGS",0,0,0
"44","Introduction to the Health Sciences Professions",10100,"HSCI",0,0,0
"45","Japanese Level I",10100,"JPNS",0,0,0
"46","Reading, Writing, And Speaking For International Students II",10100,"GS",0,0,0
"47","Russian Level I",10100,"RUSS",0,0,0
"48","Italian Level I",10100,"ITAL",0,0,0
"49","Modern Dance Technique",10100,"DANC",0,0,0
"50","Chinese Level I",10100,"CHNS",0,0,0
"52","Spanish Level I",10100,"SPAN",0,0,0
"53","German Level I",10100,"GER",0,0,0
"56","Standard Arabic Level I",10100,"ARAB",0,0,0
"57","Clinical Practice in Athletic Training - Orientation",10100,"HK",0,0,0
"58","Foundations Of Computer Graphics Technology",10101,"CGT",0,0,0
"59","London Internship Program",10101,"SA",0,0,0
"60","Sydney Internship Program",10102,"SA",0,0,0
"61","Purdue Summer Program In Sydney",10103,"SA",0,0,0
"62","Purdue Summer Program In Florence",10104,"SA",0,0,0
"63","Beijing Internship Program",10105,"SA",0,0,0
"64","Global Leadership For Freshmen",10107,"SA",0,0,0
"65","Horizons Promise Spain&Morocco",10108,"SA",0,0,0
"67","Purdue Summer Program In Beijing",10109,"SA",0,0,0
"68","Global Leadership In Peru For Freshman",10110,"SA",0,0,0
"69","Earth Science For Elementary Teachers",10200,"EAPS",0,0,0
"70","French Level II",10200,"FR",0,0,0
"71","Japanese Level II",10200,"JPNS",0,0,0
"72","First Year Participation In EPICS",10200,"EPCS",0,0,0
"73","Russian Level II",10200,"RUSS",0,0,0
"74","Introduction To Animal Agriculture",10200,"ANSC",0,0,0
"75","Careers In Veterinary Medicine",10200,"VM",0,0,0
"76","Production Design And Specifications",10200,"MET",0,0,0
"77","Standard Arabic Level II",10200,"ARAB",0,0,0
"78","Introduction To Communication Theory",10200,"COM",0,0,0
"79","Spanish Level II",10200,"SPAN",0,0,0
"80","Chinese Level II",10200,"CHNS",0,0,0
"81","Ancient Greek Level II",10200,"GREK",0,0,0
"82","Aviation Business",10200,"AT",0,0,0
"83","Italian Level II",10200,"ITAL",0,0,0
"84","Portuguese Level II",10200,"PTGS",0,0,0
"85","Earth Science For Elementary Teachers",10200,"EAS",0,0,0
"87","Basic Leadership",10200,"MSL",0,0,0
"88","German Level II",10200,"GER",0,0,0
"89","Latin Level II",10200,"LATN",0,0,0
"91","American Sign Language II",10200,"ASL",0,0,0
"92","Modern Hebrew II",10200,"HEBR",0,0,0
"93","Ballet I",10200,"DANC",0,0,0
"94","Careers In Veterinary Medicine-DL",10201,"VM",0,0,0
"95","The Culture And Food Of France",10202,"SA",0,0,0
"96","Internship In The Netherlands",10203,"SA",0,0,0
"102","International Marketing By Non-Profit Organizations",10204,"SA",0,0,0
"103","Culture And Tourism Of Greater China",10206,"SA",0,0,0
"104","Culture And Tourism South America",10207,"SA",0,0,0
"105","Children And Families In India",10208,"SA",0,0,0
"106","HTM Scotland",10209,"SA",0,0,0
"109","CDFS Latin American",10211,"SA",0,0,0
"110","Health Care And Nutrition In Costa Rica",10213,"SA",0,0,0
"111","CDFS To Europe",10214,"SA",0,0,0
"112","Nursing Abroad",10215,"SA",0,0,0
"115","SLHS In Zambia",10216,"SA",0,0,0
"116","HDFS Abroad",10217,"SA",0,0,0
"118","Evidence-Based Nursing In Ireland",10218,"SA",0,0,0
"119","Int'l Business & Not-for-Profi",10220,"SA",0,0,0
"121","Introduction To Personal Finance",10300,"CSR",0,0,0
"122","Introduction To Engineering In Practice",10300,"ENGR",0,0,0
"124","Aerospace Vehicle Propulsion And Tracking Systems",10300,"AT",0,0,0
"125","Creative Rhythms And Dance",10300,"HK",0,0,0
"126","Jazz Dance I",10300,"DANC",0,0,0
"127","Introduction To The Medieval World",10300,"HIST",0,0,0
"128","Introduction To Environmental Conservation",10300,"FNR",0,0,0
