Title,Number,Subject/Abbreviation
Introductory Sociology,10000,SOC
Intro Anthropology-Honors,10000,ANTH
American Language And Culture For International Students I,10000,GS
Planet Earth,10000,EAS
Pharmaceutical Sciences Orientation,10000,IPPH
Introduction To CSR,10000,CSR
Technology Freshman Seminar,10000,TECH
Introduction To The Science And Fields Of Psychology,10000,PSY
Introduction To Communication Studies,10000,COM
Introduction To Anthropology,10000,ANTH
Orientation To Current Issues In Human Development And Family Studies,10000,HDFS
Planet Earth,10000,EAPS
Management Lectures I,10000,MGMT
Pharmacy Orientation I,10000,PHRM
Global Design Team I,10000,GEP
Introduction To Aviation Technology,10000,AT
"Reading, Writing, And Speaking For International Students",10000,GS
Introduction To Management,10000,MGMT
Multicultural Leadership Seminar,10000,SCI
Introduction To Biochemistry,10000,BCHM
Introduction To Construction,10001,BCM
Introduction To The Hospitality And Tourism Industry,10010,HTM
Modern Hebrew Level I,10100,HEBR
Hospitality And Tourism Student Seminar,10100,HTM
Fundamentals Of Horticulture,10100,HORT
Survey Of Landscape Architecture,10100,LA
Latin Level I,10100,LATN
Gateway To Aviation Technology,10100,AT
Ancient Greek Level I,10100,GREK
Women In Technology: Exploring The Possibilities,10100,TECH
Introduction To The College Of Agriculture And Purdue University,10100,AGR
American Government And Politics,10100,POL
Foundations of Officership,10100,MSL
Intd To Agr And Purdue-Honors,10100,AGR
Introduction to Computer Graphics Technology,10100,CGT
 First Yr Part In EPICS,10100,EPCS
American Sign Language I,10100,ASL
Animal Agriculture,10100,ANSC
America And The World,10100,AMST
American Government-Honors,10100,POL
French Level I,10100,FR
Portuguese Level I,10100,PTGS
First Year Participation In EPICS,10100,EPCS
Introduction to the Health Sciences Professions,10100,HSCI
Japanese Level I,10100,JPNS
"Reading, Writing, And Speaking For International Students II",10100,GS
Russian Level I,10100,RUSS
Italian Level I,10100,ITAL
Modern Dance Technique,10100,DANC
Chinese Level I,10100,CHNS
Fresh Part In EPICS,10100,EPCS
Spanish Level I,10100,SPAN
German Level I,10100,GER
Modern Dance I,10100,DANC
American Language And Culture For International Students II,10100,GS
Standard Arabic Level I,10100,ARAB
Clinical Practice in Athletic Training - Orientation,10100,HK
Foundations Of Computer Graphics Technology,10101,CGT
London Internship Program,10101,SA
Sydney Internship Program,10102,SA
Purdue Summer Program In Sydney,10103,SA
Purdue Summer Program In Florence,10104,SA
Beijing Internship Program,10105,SA
Global Leadership For Freshmen,10107,SA
Horizons Promise Spain&Morocco,10108,SA
Horizons Abroad,10108,SA
Purdue Summer Program In Beijing,10109,SA
Global Leadership In Peru For Freshman,10110,SA
Earth Science For Elementary Teachers,10200,EAPS
French Level II,10200,FR
Japanese Level II,10200,JPNS
First Year Participation In EPICS,10200,EPCS
Russian Level II,10200,RUSS
Introduction To Animal Agriculture,10200,ANSC
Careers In Veterinary Medicine,10200,VM
Production Design And Specifications,10200,MET
Standard Arabic Level II,10200,ARAB
Introduction To Communication Theory,10200,COM
Spanish Level II,10200,SPAN
Chinese Level II,10200,CHNS
Ancient Greek Level II,10200,GREK
Aviation Business,10200,AT
Italian Level II,10200,ITAL
Portuguese Level II,10200,PTGS
Earth Science For Elementary Teachers,10200,EAS
Intro To Com Theory-Honors,10200,COM
Basic Leadership,10200,MSL
German Level II,10200,GER
Latin Level II,10200,LATN
Greek Level II,10200,GREK
American Sign Language II,10200,ASL
Modern Hebrew II,10200,HEBR
Ballet I,10200,DANC
Careers In Veterinary Medicine-DL,10201,VM
The Culture And Food Of France,10202,SA
Internship In The Netherlands,10203,SA
Health & Equal UK & Ireland,10203,SA
International Influences On Retail And Fashion,10203,SA
Bus Law & Ethics In Edinburgh,10203,SA
Hlth Disparit Austrlia & New Z,10203,SA
Im/Migrant Refugee Hlth Berlin,10203,SA
International Marketing By Non-Profit Organizations,10204,SA
Culture And Tourism Of Greater China,10206,SA
Culture And Tourism South America,10207,SA
Children And Families In India,10208,SA
HTM Scotland,10209,SA
Culture & Tourism In Italy,10209,SA
Culture Tourism And Management In Central Europe,10209,SA
CDFS Latin American,10211,SA
Health Care And Nutrition In Costa Rica,10213,SA
CDFS To Europe,10214,SA
Nursing Abroad,10215,SA
Compartv Healthcare In Ireland,10215,SA
Nursing In Europe,10215,SA
SLHS In Zambia,10216,SA
HDFS Abroad,10217,SA
Turkey Study Abroad,10217,SA
Evidence-Based Nursing In Ireland,10218,SA
Int'l Business & Not-for-Profi,10220,SA
Int'l Bus & Not-for-Profit,10220,SA
Introduction To Personal Finance,10300,CSR
Introduction To Engineering In Practice,10300,ENGR
Introduction To Careers In Engineering,10300,ENGR
Aerospace Vehicle Propulsion And Tracking Systems,10300,AT
Creative Rhythms And Dance,10300,HK
Jazz Dance I,10300,DANC
Introduction To The Medieval World,10300,HIST
Introduction To Environmental Conservation,10300,FNR
Global Studies,10302,SA
Post-Colonial Studies In London,10302,SA
Introduction To Intercultural Teamwork In China,10303,SA
Comm In Global Organizations,10304,SA
Communication In Global Organizations,10304,SA
English Education Abroad,10305,SA
Anatolian Archaeology Field School,10307,SA
Global Perspectives Health And Kinesiology,10309,SA
Spanish In Madrid,10310,SA
Latin American And Latino Studies Abroad,10314,SA
Purdue Music Abroad,10315,SA
Ethnographic Field Mthd Brazil,10317,SA
Ethnographic Field Meth: Brazi,10317,SA
Ethnographic Field Mthd,10317,SA
Professional Writing Abroad,10319,SA
Women's Studies Abroad,10320,SA
Womens Studies In India,10320,SA
Womens Gender &Sexuality India,10320,SA
Communication In A Global Context: Italy,10321,SA
Portuguese In Brazil,10322,SA
Global Studies In Brazil,10322,SA
Brazil & Explore African Hert,10323,SA
Studies In African Diaspora,10323,SA
African American Studies Abroad,10323,SA
Ghana And The African Diaspora,10323,SA
Purdue In Paris Summer Prgm,10325,SA
Classics Abroad:Ancient Greece,10326,SA
Ancient Greece,10326,SA
Latin American And Latino Studies Abroad II,10328,SA
Purdue History Abroad II,10329,SA
Purdue Anthropology Archeology Abroad,10330,SA
Purdue History Abroad I,10331,SA
Purdue On the Rhine,10331,SA
London: A GlobalCity,10331,SA
Communications In Spain,10334,SA
Global Intern Prog In Seoul,10335,SA
Trieste Summer Abroad,10336,SA
Study Religion In China,10337,SA
 IDIS Internship,10338,SA
Educational Gymnastics And Adventure Education,10400,HK
Oceanography,10400,EAS
Industrial Organization,10400,IT
Introduction To The Modern World,10400,HIST
Introduction To Agricultural Systems,10400,ASM
Oceanography,10400,EAPS
First Year Physics Seminar,10400,PHYS
Introduction To Engineering And Purdue,10400,ENGR
Education Block II Abroad,10401,SA
Education Block II In India,10401,SA
Ed Maymester North Europe,10402,SA
EDU Summer In Europe,10402,SA
EDU Summer Abroad,10403,SA
Block I - Jamaica,10404,SA
Education Block I - Jamaica,10404,SA
Maymester In Tanzania,10405,SA
Math Educ Abroad-Tanzania,10405,SA
Mathematics Education Abroad,10405,SA
Education Abroad Germany,10406,SA
Education Block III In Germany,10406,SA
Research In Romania,10407,SA
Crop Production,10500,AGRY
Survey Of Global History,10500,HIST
Introduction To C Programming,10500,CNIT
Nutrition In The 21st Century,10500,NUTR
Introduction to Veterinary Technology-DL,10500,VM
Design I,10500,AD
Basic Aircraft Electrical Theory,10500,AT
Insects: Friend And Foe,10500,ENTM
Accelerated Portuguese,10500,PTGS
The Planets,10500,EAPS
The Planets,10500,EAS
Global History-Honors,10500,HIST
Development And Analysis Of Invasion Games,10500,HK
Accelerated Basic Italian,10500,ITAL
First Yr Engr Seminar-Honors,10500,ENGR
Academic And Career Plan,10500,EDPS
Agricultural Systems Computations And Communication,10500,ASM
Earthquake Engineering Abroad,10501,SA
ECE Study Abroad,10503,SA
"Sustain Across Sectors, Sweden",10505,SA
21st Century Europe Transportn,10505,SA
CE Abroad: UK Infrastructures,10505,SA
Engineering Cultures Of East Asia,10506,SA
Drinking Water Issues,10507,SA
Global Design Teams,10507,SA
Matrls for Biomedical Devices,10510,SA
Materials Engineering Abroad,10510,SA
Civil Engineering Practices Abroad,10511,SA
Civil Engineering And The Global Impact,10512,SA
Global Climate Change: Brazil,10513,SA
Engr/Public Hlth In Serv Secr,10514,SA
ENGR Services Abroad: Rome,10514,SA
Engineering Services Abroad,10514,SA
Europe/US Perspectv Space Expl,10515,SA
NASA & Europn Flgt Test Cmprsn,10515,SA
AAE Abroad,10515,SA
Biomedical Engineering Abroad,10517,SA
EEE Research Abroad,10518,SA
Global Alt Power Solutions,10519,SA
Chem Engr Switzerland,10520,SA
Chemical Engr In Colombia,10520,SA
Singapore:Chemical Eng UG,10520,SA
EPICS Ecuador,10521,SA
EPICS Global,10521,SA
Uncertn Quant Fluid Dynamics,10522,SA
Engr Practice & Educ In India,10522,SA
Basic Aircraft Science,10600,AT
Geosciences In The Cinema,10600,EAS
Biology Companion Animal,10600,ANSC
Development And Analysis Of Net/Wall Games,10600,HK
Introduction To The Profession Of Dietetics,10600,NUTR
Introduction To The Profession Of Dietetics,10600,FN
Design II,10600,AD
Geosciences In The Cinema,10600,EAPS
The Profession Of Dietetics,10600,NUTR
First-Year Composition,10600,ENGL
Contemporary Issues In International Public Health,10601,SA
American Landscapes,10700,EAS
Chinese For Heritage Students,10700,CHNS
Development And Analysis Of Target And Field Games,10700,HK
Introduction To Nutrition Science,10700,NUTR
Pathway To Purdue,10700,AGR
Asian Emerging Markets,10701,SA
Doing Business In China For Undergraduates,10702,SA
Business Studies In London,10703,SA
Global Entreprshp & Innovation,10705,SA
Global Entrepreneurship,10705,SA
Business Strategies And Political Populism In Latin America,10707,SA
Krannert Marketing Abroad,10708,SA
Krannert In Siena,10709,SA
Economics In Madrid,10709,SA
Manage Global Bus Environment,10709,SA
Entrepreneurship In Southeast Asia Module I,10710,SA
Entrepreneurship In Southeast Asia Module II,10711,SA
Entrepreneurship In Southeast Asia Module I And II,10712,SA
Accelerated First-Year Composition,10800,ENGL
Introduction To Nursing,10800,NUR
Mathematics As A Profession And A Discipline,10800,MA
