Title,Number,Abbreviation,AvgWorkloadRating,AvgDifficultyRating,AvgUtilityRating
Introductory Sociology,10000,SOC,0,0,0
Intro Anthropology-Honors,10000,ANTH,0,0,0
American Language And Culture For International Students I,10000,GS,0,0,0
Planet Earth,10000,EAS,0,0,0
Pharmaceutical Sciences Orientation,10000,IPPH,0,0,0
Introduction To CSR,10000,CSR,0,0,0
Technology Freshman Seminar,10000,TECH,0,0,0
Introduction To The Science And Fields Of Psychology,10000,PSY,0,0,0
Introduction To Communication Studies,10000,COM,0,0,0
Introduction To Anthropology,10000,ANTH,0,0,0
Orientation To Current Issues In Human Development And Family Studies,10000,HDFS,0,0,0
Planet Earth,10000,EAPS,0,0,0
Management Lectures I,10000,MGMT,0,0,0
Pharmacy Orientation I,10000,PHRM,0,0,0
Global Design Team I,10000,GEP,0,0,0
Introduction To Aviation Technology,10000,AT,0,0,0
"Reading, Writing, And Speaking For International Students",10000,GS,0,0,0
Introduction To Management,10000,MGMT,0,0,0
Multicultural Leadership Seminar,10000,SCI,0,0,0
Introduction To Biochemistry,10000,BCHM,0,0,0
Introduction To Construction,10001,BCM,0,0,0
Introduction To The Hospitality And Tourism Industry,10010,HTM,0,0,0
Modern Hebrew Level I,10100,HEBR,0,0,0
Hospitality And Tourism Student Seminar,10100,HTM,0,0,0
Fundamentals Of Horticulture,10100,HORT,0,0,0
Survey Of Landscape Architecture,10100,LA,0,0,0
Latin Level I,10100,LATN,0,0,0
Gateway To Aviation Technology,10100,AT,0,0,0
Ancient Greek Level I,10100,GREK,0,0,0
Women In Technology: Exploring The Possibilities,10100,TECH,0,0,0
Introduction To The College Of Agriculture And Purdue University,10100,AGR,0,0,0
American Government And Politics,10100,POL,0,0,0
Foundations of Officership,10100,MSL,0,0,0
Intd To Agr And Purdue-Honors,10100,AGR,0,0,0
Introduction to Computer Graphics Technology,10100,CGT,0,0,0
 First Yr Part In EPICS,10100,EPCS,0,0,0
American Sign Language I,10100,ASL,0,0,0
Animal Agriculture,10100,ANSC,0,0,0
America And The World,10100,AMST,0,0,0
American Government-Honors,10100,POL,0,0,0
French Level I,10100,FR,0,0,0
Portuguese Level I,10100,PTGS,0,0,0
First Year Participation In EPICS,10100,EPCS,0,0,0
Introduction to the Health Sciences Professions,10100,HSCI,0,0,0
Japanese Level I,10100,JPNS,0,0,0
"Reading, Writing, And Speaking For International Students II",10100,GS,0,0,0
Russian Level I,10100,RUSS,0,0,0
Italian Level I,10100,ITAL,0,0,0
Modern Dance Technique,10100,DANC,0,0,0
Chinese Level I,10100,CHNS,0,0,0
Fresh Part In EPICS,10100,EPCS,0,0,0
Spanish Level I,10100,SPAN,0,0,0
German Level I,10100,GER,0,0,0
Modern Dance I,10100,DANC,0,0,0
American Language And Culture For International Students II,10100,GS,0,0,0
Standard Arabic Level I,10100,ARAB,0,0,0
Clinical Practice in Athletic Training - Orientation,10100,HK,0,0,0
Foundations Of Computer Graphics Technology,10101,CGT,0,0,0
London Internship Program,10101,SA,0,0,0
Sydney Internship Program,10102,SA,0,0,0
Purdue Summer Program In Sydney,10103,SA,0,0,0
Purdue Summer Program In Florence,10104,SA,0,0,0
Beijing Internship Program,10105,SA,0,0,0
Global Leadership For Freshmen,10107,SA,0,0,0
Horizons Promise Spain&Morocco,10108,SA,0,0,0
Horizons Abroad,10108,SA,0,0,0
Purdue Summer Program In Beijing,10109,SA,0,0,0
Global Leadership In Peru For Freshman,10110,SA,0,0,0
Earth Science For Elementary Teachers,10200,EAPS,0,0,0
French Level II,10200,FR,0,0,0
Japanese Level II,10200,JPNS,0,0,0
First Year Participation In EPICS,10200,EPCS,0,0,0
Russian Level II,10200,RUSS,0,0,0
Introduction To Animal Agriculture,10200,ANSC,0,0,0
Careers In Veterinary Medicine,10200,VM,0,0,0
Production Design And Specifications,10200,MET,0,0,0
Standard Arabic Level II,10200,ARAB,0,0,0
Introduction To Communication Theory,10200,COM,0,0,0
Spanish Level II,10200,SPAN,0,0,0
Chinese Level II,10200,CHNS,0,0,0
Ancient Greek Level II,10200,GREK,0,0,0
Aviation Business,10200,AT,0,0,0
Italian Level II,10200,ITAL,0,0,0
Portuguese Level II,10200,PTGS,0,0,0
Earth Science For Elementary Teachers,10200,EAS,0,0,0
Intro To Com Theory-Honors,10200,COM,0,0,0
Basic Leadership,10200,MSL,0,0,0
German Level II,10200,GER,0,0,0
Latin Level II,10200,LATN,0,0,0
Greek Level II,10200,GREK,0,0,0
American Sign Language II,10200,ASL,0,0,0
Modern Hebrew II,10200,HEBR,0,0,0
Ballet I,10200,DANC,0,0,0
Careers In Veterinary Medicine-DL,10201,VM,0,0,0
The Culture And Food Of France,10202,SA,0,0,0
Internship In The Netherlands,10203,SA,0,0,0
Health & Equal UK & Ireland,10203,SA,0,0,0
International Influences On Retail And Fashion,10203,SA,0,0,0
Bus Law & Ethics In Edinburgh,10203,SA,0,0,0
Hlth Disparit Austrlia & New Z,10203,SA,0,0,0
Im/Migrant Refugee Hlth Berlin,10203,SA,0,0,0
International Marketing By Non-Profit Organizations,10204,SA,0,0,0
Culture And Tourism Of Greater China,10206,SA,0,0,0
Culture And Tourism South America,10207,SA,0,0,0
Children And Families In India,10208,SA,0,0,0
HTM Scotland,10209,SA,0,0,0
Culture & Tourism In Italy,10209,SA,0,0,0
Culture Tourism And Management In Central Europe,10209,SA,0,0,0
CDFS Latin American,10211,SA,0,0,0
Health Care And Nutrition In Costa Rica,10213,SA,0,0,0
CDFS To Europe,10214,SA,0,0,0
Nursing Abroad,10215,SA,0,0,0
